term	section	course	instructor	whenWhere
Summer 2021	8405	ECE-231	Mason	NOT AVAILABLE
Summer 2021	8450	ECE-242	Bryson	NOT AVAILABLE
Summer 2021	8898	ECE-244	Bryson	NOT AVAILABLE
Summer 2021	4311	ECON-220	Sorce	NOT AVAILABLE
Summer 2021	5230	ECON-220	Bajrami	NOT AVAILABLE
Summer 2021	5240	ECON-220	Yoon	NOT AVAILABLE
Summer 2021	4322	ECON-221	Giuili	NOT AVAILABLE
Summer 2021	5920	ECON-221	Giuili	NOT AVAILABLE
Summer 2021	2100	ELTRN-107	Smith	NOT AVAILABLE
Summer 2021	3850	ENGIN-110	Panahandeh	NOT AVAILABLE
Summer 2021	200	ENGL-120A	Kadi	NOT AVAILABLE
Summer 2021	540	ENGL-122	Allen-Kirkhouse	NOT AVAILABLE
Summer 2021	547	ENGL-122	Wenstrom	NOT AVAILABLE
Summer 2021	549	ENGL-122	Smigelski	NOT AVAILABLE
Summer 2021	824	ENGL-122	Rogers	NOT AVAILABLE
Summer 2021	850	ENGL-122	Garcia	NOT AVAILABLE
Summer 2021	860	ENGL-122	Rogers	NOT AVAILABLE
Summer 2021	1135	ENGL-122	Stein	NOT AVAILABLE
Summer 2021	4079	ENGL-122	Baskind	NOT AVAILABLE
Summer 2021	5010	ENGL-122	Laemmlen	NOT AVAILABLE
Summer 2021	5026	ENGL-122	Hughes	NOT AVAILABLE
Summer 2021	5044	ENGL-122	Snyder	NOT AVAILABLE
Summer 2021	5046	ENGL-122	Vetter	NOT AVAILABLE
Summer 2021	5205	ENGL-122	Smyrl	NOT AVAILABLE
Summer 2021	5648	ENGL-122	Cartwright	NOT AVAILABLE
Summer 2021	5678	ENGL-122	Fitzgerald	NOT AVAILABLE
Summer 2021	5679	ENGL-122	Higgins	NOT AVAILABLE
Summer 2021	9186	ENGL-122	Shackett	NOT AVAILABLE
Summer 2021	9255	ENGL-122	Shackett	NOT AVAILABLE
Summer 2021	9293	ENGL-122	Shackett	NOT AVAILABLE
Summer 2021	205	ENGL-122A	Kadi	NOT AVAILABLE
Summer 2021	1005	ENGL-122AL	Kadi	NOT AVAILABLE
Summer 2021	3555	ENGL-123	Valentine	NOT AVAILABLE
Summer 2021	3978	ENGL-123	Jackl	NOT AVAILABLE
Summer 2021	3985	ENGL-123	Leong	NOT AVAILABLE
Summer 2021	4100	ENGL-123	Leong	NOT AVAILABLE
Summer 2021	4106	ENGL-123	Valentine	NOT AVAILABLE
Summer 2021	5072	ENGL-123	Carbonell	NOT AVAILABLE
Summer 2021	5892	ENGL-123	De Foe	NOT AVAILABLE
Summer 2021	5893	ENGL-123	Allen-Kirkhouse	NOT AVAILABLE
Summer 2021	5894	ENGL-123	Jule-Frost	NOT AVAILABLE
Summer 2021	5895	ENGL-123	Jackl	NOT AVAILABLE
Summer 2021	5896	ENGL-123	Toloui	NOT AVAILABLE
Summer 2021	8042	ENGL-123	Jordan	NOT AVAILABLE
Summer 2021	9192	ENGL-123	Colson	NOT AVAILABLE
Summer 2021	2155	ENGL-126	Cartwright	NOT AVAILABLE
Summer 2021	4107	ENGL-126	Gonzales	NOT AVAILABLE
Summer 2021	5049	ENGL-126	Gonzales	NOT AVAILABLE
Summer 2021	5050	ENGL-126	Escudero	NOT AVAILABLE
Summer 2021	5320	ENGL-126	Gray	NOT AVAILABLE
Summer 2021	5321	ENGL-126	Valentine	NOT AVAILABLE
Summer 2021	5322	ENGL-126	Gray	NOT AVAILABLE
Summer 2021	8041	ENGL-126	Stein	NOT AVAILABLE
Summer 2021	2251	ENGL-162	Ross	NOT AVAILABLE
Summer 2021	2252	ENGL-162	Fitzgerald	NOT AVAILABLE
Summer 2021	2256	ENGL-170	Wenstrom	NOT AVAILABLE
Summer 2021	5120	ENGL-224	Montei	NOT AVAILABLE
Summer 2021	9249	ENVSC-100	Reyes	NOT AVAILABLE
Summer 2021	4885	ESL-075	Moran	NOT AVAILABLE
Summer 2021	5015	ESL-080	Khabiri	NOT AVAILABLE
Summer 2021	8460	ESL-085	Gardiner	NOT AVAILABLE
Summer 2021	4892	ESL-090	Moran	NOT AVAILABLE
Summer 2021	1128	ESL-095	Zuromski	NOT AVAILABLE
Summer 2021	4155	FRNCH-120	Nobari	NOT AVAILABLE
Summer 2021	5030	FTVE-200	Foulds	NOT AVAILABLE
Summer 2021	5515	FTVE-200	O'Neill	NOT AVAILABLE
Summer 2021	4201	FTVE-205	Olson	NOT AVAILABLE
Summer 2021	5161	FTVE-205	Foulds	NOT AVAILABLE
Summer 2021	5204	FTVE-210	O'Neill	NOT AVAILABLE
Summer 2021	9250	FTVE-210	Loden	NOT AVAILABLE
Summer 2021	5310	FTVE-240	Olson	NOT AVAILABLE
Summer 2021	5931	FTVE-240	Olson	NOT AVAILABLE
Summer 2021	5011	FTVE-280	Loden	NOT AVAILABLE
Summer 2021	8170	FTVE-282	Kashani	NOT AVAILABLE
Summer 2021	9269	FTVE-282	Cembellin	NOT AVAILABLE
Summer 2021	1580	GEOL-120	Shin	NOT AVAILABLE
Summer 2021	1581	GEOL-122	Catena	NOT AVAILABLE
Summer 2021	1189	HIST-120	Irwin	NOT AVAILABLE
Summer 2021	5562	HIST-120	Powell	NOT AVAILABLE
Summer 2021	5563	HIST-120	Powell	NOT AVAILABLE
Summer 2021	5564	HIST-120	Powell	NOT AVAILABLE
Summer 2021	5568	HIST-120	Irwin	NOT AVAILABLE
Summer 2021	8165	HIST-120	Quirarte-Amador	NOT AVAILABLE
Summer 2021	9264	HIST-120	Francois	NOT AVAILABLE
Summer 2021	9265	HIST-120	Levine	NOT AVAILABLE
Summer 2021	1190	HIST-121	Higdon	NOT AVAILABLE
Summer 2021	1192	HIST-121	Levine	NOT AVAILABLE
Summer 2021	1194	HIST-121	Eigen	NOT AVAILABLE
Summer 2021	5255	HIST-121	Higdon	NOT AVAILABLE
Summer 2021	5565	HIST-121	Higdon	NOT AVAILABLE
Summer 2021	5566	HIST-121	Higdon	NOT AVAILABLE
Summer 2021	8022	HIST-121	Eigen	NOT AVAILABLE
Summer 2021	9266	HIST-121	Glickman	NOT AVAILABLE
Summer 2021	3091	HIST-124	Levine	NOT AVAILABLE
Summer 2021	3093	HIST-124	Chlarson	NOT AVAILABLE
Summer 2021	9267	HIST-124	Irwin	NOT AVAILABLE
Summer 2021	5586	HIST-126	Quirarte-Amador	NOT AVAILABLE
Summer 2021	3150	HIST-140	Schaffer	NOT AVAILABLE
Summer 2021	3175	HIST-141	Corbally	NOT AVAILABLE
Summer 2021	3130	HIST-180	Corbally	NOT AVAILABLE
Summer 2021	3225	HIST-181	Corbally	NOT AVAILABLE
Summer 2021	9021	HIST-181	Sandberg	NOT AVAILABLE
Summer 2021	8075	HORT-160	Eyestone	NOT AVAILABLE
Summer 2021	5165	HORT-183	Kluber	NOT AVAILABLE
Summer 2021	7941	HORT-296	Hurtado	NOT AVAILABLE
Summer 2021	1375	HORT-298	Black	NOT AVAILABLE
Summer 2021	2270	HORT-299	Eyestone	NOT AVAILABLE
Summer 2021	9190	HSCI-100	Glaves	NOT AVAILABLE
Summer 2021	5139	HSCI-124	Colchico	NOT AVAILABLE
Summer 2021	5141	HSCI-127	Ignatowski	NOT AVAILABLE
Summer 2021	5159	HSCI-128	Hewitt	NOT AVAILABLE
Summer 2021	9191	HSCI-128	Staff	NOT AVAILABLE
Summer 2021	5160	HSCI-130	Colchico	NOT AVAILABLE
Summer 2021	5163	HSCI-135	Ansari-Yan	NOT AVAILABLE
Summer 2021	5179	HSCI-140	Colchico	NOT AVAILABLE
Summer 2021	5189	HSCI-170	Rittenhouse	NOT AVAILABLE
Summer 2021	1004	HUMAN-105	Ferrara	NOT AVAILABLE
Summer 2021	1050	HUMAN-108	Rasmussen	NOT AVAILABLE
Summer 2021	1034	HUMAN-115	Duque de Castela	NOT AVAILABLE
Summer 2021	2110	IDSGN-105	Smith	NOT AVAILABLE
Summer 2021	2000	INTD-080NC	Beaulieu	NOT AVAILABLE
Summer 2021	1174	INTD-120C	Staff	NOT AVAILABLE
Summer 2021	4161	JAPAN-120	Nezuka	NOT AVAILABLE
Summer 2021	4163	JAPAN-120	Kumakura	NOT AVAILABLE
Summer 2021	3110	JRNAL-110	Earley	NOT AVAILABLE
Summer 2021	3120	JRNAL-110	Staff	NOT AVAILABLE
Summer 2021	5210	KINES-210	Chisar	NOT AVAILABLE
Summer 2021	707	KNACT-110A	Bishop	NOT AVAILABLE
Summer 2021	708	KNACT-110B	Bishop	NOT AVAILABLE
Summer 2021	712	KNACT-110C	Bishop	NOT AVAILABLE
Summer 2021	8210	KNACT-124A	Pierson	NOT AVAILABLE
Summer 2021	8212	KNACT-120	Pierson	NOT AVAILABLE
Summer 2021	8211	KNACT-124B	Pierson	NOT AVAILABLE
Summer 2021	4594	KNACT-195C	Mullins	NOT AVAILABLE
Summer 2021	4597	KNACT-195A	Mullins	NOT AVAILABLE
Summer 2021	4598	KNACT-195B	Mullins	NOT AVAILABLE
Summer 2021	3888	KNICA-098	Ramos	NOT AVAILABLE
Summer 2021	3889	KNICA-098	Ramos	NOT AVAILABLE
Summer 2021	3890	KNICA-098	Ramos	NOT AVAILABLE
Summer 2021	3250	KNICA-199	Anderson	NOT AVAILABLE
Summer 2021	3260	KNICA-199	Anderson	NOT AVAILABLE
Summer 2021	3443	KNICA-199	Luquet	NOT AVAILABLE
Summer 2021	3446	KNICA-199	Mullins	NOT AVAILABLE
Summer 2021	3450	KNICA-199	Bailey	NOT AVAILABLE
Summer 2021	3550	KNICA-199	Pierson	NOT AVAILABLE
Summer 2021	3560	KNICA-199	De Trane	NOT AVAILABLE
Summer 2021	3570	KNICA-199	Millington	NOT AVAILABLE
Summer 2021	3788	KNICA-199	Whitmore	NOT AVAILABLE
Summer 2021	8072	KNICA-199	Anderson	NOT AVAILABLE
Summer 2021	8074	KNICA-199	Ponciano-Babb	NOT AVAILABLE
Summer 2021	8095	KNICA-199	Darr	NOT AVAILABLE
Summer 2021	8200	KNICA-199	Anderson	NOT AVAILABLE
Summer 2021	8280	KNICA-199	Welch	NOT AVAILABLE
Summer 2021	5013	LS-121	Moss	NOT AVAILABLE
